chromosome_id,chromosome,num_connections
1,[Bi]C(=O)C[Bi],2
2,[Bi]N(C)C1=CC(=O)C([Bi])C=C1,2
3,[Bi]NC1=CC([Bi])CCC1,2
4,[Bi]c1cccc([Bi])c1,2
5,[Bi]N1CCCC([Bi])C1,2
6,[Bi]N1CC([Bi])CCC1O,2
7,[Bi]CNn1cnc2cccc([Bi])c21,2
8,[Bi]c1ccc([Bi])cc1,2
9,[Bi][C@@]1(C)OC(=O)C2=C(CCCC2[Bi])C1=O,2
10,[Bi]C([Bi])CC,2
11,[Bi]C(=O)CC[Bi],2
12,[Bi]c1cccc(F)c1[Bi],2
13,[Bi]c1ccccc1[Bi],2
14,[Bi]c1cccc(N)c1[Bi],2
15,[Bi]CC(=O)C1=CN=NC1[Bi],2
16,[Bi]C(=O)[C@@]([Bi])(C)C(C)C,2
17,[Bi]n1ccnc1[Bi],2
18,[Bi]N1C(=O)CCCC1[Bi],2
19,[Bi]OC1=NC=CC(C)C1[Bi],2
20,[Bi]C(C)C(=O)n1cnnc1[Bi],2
21,[Bi]N1CCCC1[Bi],2
22,[Bi]N1CCOC2C(O)COC([Bi])C21,2
23,[Bi]c1n[nH]cc1[Bi],2
24,[Bi]n1nnnc1[Bi],2
25,[Bi]c1cccc(C)c1[Bi],2
26,[Bi]CCC([Bi])C,2
27,[Bi]N1CCN([Bi])CC1,2
28,[Bi]C(=O)C([Bi])C,2
29,[Bi]C(=O)C(C)C[Bi],2
30,[Bi]CC([Bi])=O,2
31,[Bi]N1CNNC1[Bi],2
32,[Bi]N1CCC(=O)N([Bi])CC1,2
33,[Bi]N1CCNC(=O)CC1[Bi],2
34,[Bi]N1CCOc2cc([Bi])cc(C)c2C1=O,2
35,[Bi]c1ccc([Bi])c2ccccc12,2
36,[Bi]N1CC([Bi])CC1=O,2
37,[Bi]CC1=NC([Bi])NO1,2
38,[Bi]c1nn(C)cc1[Bi],2
39,[Bi]C1([Bi])CCC1,2
40,[Bi]CCC[Bi],2
41,[Bi]N1CC(C)OCC1[Bi],2
42,[Bi]c1ccc(C)cc1[Bi],2
43,[Bi]c1ccc([Bi])c(F)c1,2
44,[Bi]N1CCCCC1[Bi],2
45,[Bi]CC([Bi])C,2
46,[Bi]C1CCC([Bi])CC1,2
47,[Bi]c1cc([Bi])ccn1,2
48,[Bi]c1cc2c(cc1[Bi])OCO2,2
49,[Bi]c1ccc(F)cc1[Bi],2
50,[Bi]CCN1CC([Bi])CN1,2
51,[Bi]c1c([Bi])cnn1C,2
52,[Bi]CCN1NNC([Bi])C1C#N,2
53,[Bi]c1cc([Bi])c2ccccc2n1,2
54,[Bi]C(=O)CC(=O)n1c2ccccc2c(=O)n1[Bi],2
55,[Bi]CC(=O)n1ccnc1[Bi],2
56,[Bi]c1ccc(O)c([Bi])c1,2
57,[Bi]C(=O)CC([Bi])=O,2
58,[Bi]c1cnc2ccccc2c1[Bi],2
59,[Bi]n1cnnc1[Bi],2
60,[Bi]C(C)C([Bi])O,2
61,[Bi]c1ccc2c(c1[Bi])CCCC2,2
62,[Bi]CC([Bi])O,2
63,[Bi]C([Bi])C(N)=O,2
64,[Bi]n1nc([Bi])n2cccc2c1=O,2
65,[Bi][C@@]([Bi])(C)CO,2
66,[Bi]C(=O)C([Bi])O,2
67,[Bi]n1nc2ncn([Bi])c(=O)c2c1C,2
68,[Bi]n1nc([Bi])c2ccccc21,2
69,[Bi]c1ncccc1[Bi],2
70,[Bi]c1nnc([Bi])o1,2
71,[Bi]CC([Bi])C(C)C,2
72,[Bi]N1CCCC([Bi])C1=O,2
73,[Bi]C(=O)C1C(=O)N=C(N[Bi])c2ccccc21,2
74,[Bi]N(C)C1=CC=CC1[Bi],2
75,[Bi]c1ccc(F)c([Bi])c1,2
76,[Bi]C(=O)CC([Bi])C,2
77,[Bi]C1CCCCC1[Bi],2
78,[Bi]N1CCNC([Bi])/C1=N/CC(F)(F)F,2
79,[Bi]CC(=O)C[Bi],2
80,[Bi]n1nc([Bi])oc1=O,2
81,[Bi]N1CCOC([Bi])C1,2
82,[Bi]N1C=CC([Bi])C1,2
83,[Bi]N1CCN(C)C([Bi])C1=O,2
84,[Bi]N1CCOCC1[Bi],2
85,[Bi]N/C=C1/CCCCC1[Bi],2
86,[Bi]c1nccc2cccc([Bi])c12,2
87,[Bi]C(=O)C1=CN=NC1[Bi],2
88,[Bi]c1nc2c([Bi])cc(C)nc2n1C,2
89,[Bi]N([Bi])C1=CC(C)CCC1,2
90,[Bi]C1([Bi])Nc2ccccc2N(C(C)C)C1=O,2
91,[Bi]c1ncc([Bi])c(C#N)n1,2
92,[Bi]OC1=C(O)C=CC2=CC=CN([Bi])C21,2
93,[Bi]C(=O)CC1=CC(C)N=C2NC(N([Bi])C)=NN12,2
94,[Bi]c1ccc([Bi])c(N)c1,2
95,[Bi]C(=O)CCC[Bi],2
96,[Bi]N1CCC[C@@]1([Bi])C#N,2
97,[Bi]NCN([Bi])C,2
98,[Bi]N1CC2C(=O)N([Bi])N=C2CC1=O,2
99,[Bi]N1C=CC(=O)C([Bi])C1=O,2
100,[Bi]c1cc([Bi])c(=O)n(C)n1,2
101,[Bi]c1nccc([Bi])c1C#N,2
102,[Bi]N1NC2=CC=CC([Bi])N2C1=O,2
103,[Bi]NC1c2ccccc2C(=O)NC1[Bi],2
104,[Bi]c1cnc2cc(C)c([Bi])cc2c1,2
105,[Bi]C[C@]([Bi])(C)O,2
106,[Bi]c1nc([Bi])n2ccccc12,2
107,[Bi]O/C=C\N[Bi],2
108,[Bi]n1nc([Bi])cc(N)c1=O,2
109,[Bi]C(=O)CN1NN=C(OC)C1[Bi],2
110,[Bi]C1([Bi])CCOCC1,2
111,[Bi]N1CCN2C(=O)c3ccccc3N([Bi])C2C1,2
112,[Bi]C1([Bi])CC1,2
113,[Bi]n1c(=O)c2ccccc2n([Bi])c1=O,2
114,[Bi]C(=O)C([Bi])CC,2
115,[Bi]n1nnc(C)c1[Bi],2
116,[Bi]c1noc([Bi])n1,2
117,[Bi]C(=O)C(CC)C([Bi])=O,2
118,[Bi]n1c([Bi])nc2ccc(C)cc21,2
119,[Bi]N1C(=O)N(C)[C@]([Bi])(C)C1=O,2
120,[Bi]c1ccc([Bi])o1,2
121,[Bi]C(C)C[Bi],2
122,[Bi]C([Bi])C#N,2
123,[Bi]N1C([Bi])CC(=O)C1C,2
124,[Bi]c1cc(C)c([Bi])c(C)c1,2
125,[Bi]C(=O)CN1C(C)=C(N[Bi])C(C)N1C,2
126,[Bi]CC1=CN=C2C=CC=CC2N1[Bi],2
127,[Bi]CC(=O)n1ccc([Bi])n1,2
128,[Bi]NC(=C)C[Bi],2
129,[Bi]C1CCC([Bi])O1,2
